participant,block,condition,route
P01,1,A,MB2016-412117
P01,2,B,MB2016-410602
P01,3,C,MB2016-412973
P02,1,A,MB2016-410602
P02,2,B,MB2016-412973
P02,3,C,MB2016-412117
P03,1,A,MB2016-412117
P03,2,C,MB2016-410602
P03,3,B,MB2016-412973
P04,1,A,MB2016-410602
P04,2,C,MB2016-412973
P04,3,B,MB2016-412117
P05,1,B,MB2016-410602
P05,2,A,MB2016-412973
P05,3,C,MB2016-412117
P06,1,B,MB2016-412973
P06,2,A,MB2016-412117
P06,3,C,MB2016-410602
P07,1,B,MB2016-412117
P07,2,C,MB2016-410602
P07,3,A,MB2016-412973
P08,1,C,MB2016-412973
P08,2,A,MB2016-412117
P08,3,B,MB2016-410602
P09,1,C,MB2016-412117
P09,2,B,MB2016-410602
P09,3,A,MB2016-412973
P10,1,C,MB2016-412973
P10,2,B,MB2016-412117
P10,3,A,MB2016-410602
P11,1,A,MB2016-412973
P11,2,B,MB2016-412117
P11,3,C,MB2016-410602
P12,1,A,MB2016-412973
P12,2,C,MB2016-412117
P12,3,B,MB2016-410602
P13,1,B,MB2016-412117
P13,2,A,MB2016-410602
P13,3,C,MB2016-412973
P14,1,B,MB2016-410602
P14,2,C,MB2016-412973
P14,3,A,MB2016-412117
P15,1,B,MB2016-412973
P15,2,C,MB2016-412117
P15,3,A,MB2016-410602
P16,1,C,MB2016-412117
P16,2,A,MB2016-410602
P16,3,B,MB2016-412973
P17,1,C,MB2016-410602
P17,2,A,MB2016-412973
P17,3,B,MB2016-412117
P18,1,C,MB2016-410602
P18,2,B,MB2016-412973
P18,3,A,MB2016-412117
P19,1,A,MB2016-412117
P19,2,B,MB2016-410602
P19,3,C,MB2016-412973
P20,1,A,MB2016-410602
P20,2,B,MB2016-412973
P20,3,C,MB2016-412117
P21,1,A,MB2016-412117
P21,2,C,MB2016-410602
P21,3,B,MB2016-412973
P22,1,A,MB2016-410602
P22,2,C,MB2016-412973
P22,3,B,MB2016-412117
P23,1,B,MB2016-410602
P23,2,A,MB2016-412973
P23,3,C,MB2016-412117
P24,1,B,MB2016-412973
P24,2,A,MB2016-412117
P24,3,C,MB2016-410602
P25,1,B,MB2016-412117
P25,2,C,MB2016-410602
P25,3,A,MB2016-412973
P26,1,C,MB2016-412973
P26,2,A,MB2016-412117
P26,3,B,MB2016-410602
P27,1,C,MB2016-412117
P27,2,B,MB2016-410602
P27,3,A,MB2016-412973
P28,1,C,MB2016-412973
P28,2,B,MB2016-412117
P28,3,A,MB2016-410602
P29,1,A,MB2016-412973
P29,2,B,MB2016-412117
P29,3,C,MB2016-410602
P30,1,A,MB2016-412973
P30,2,C,MB2016-412117
P30,3,B,MB2016-410602
P31,1,B,MB2016-412117
P31,2,A,MB2016-410602
P31,3,C,MB2016-412973
P32,1,B,MB2016-410602
P32,2,C,MB2016-412973
P32,3,A,MB2016-412117
P33,1,B,MB2016-412973
P33,2,C,MB2016-412117
P33,3,A,MB2016-410602
P34,1,C,MB2016-412117
P34,2,A,MB2016-410602
P34,3,B,MB2016-412973
P35,1,C,MB2016-410602
P35,2,A,MB2016-412973
P35,3,B,MB2016-412117
P36,1,C,MB2016-410602
P36,2,B,MB2016-412973
P36,3,A,MB2016-412117
P37,1,A,MB2016-412117
P37,2,B,MB2016-410602
P37,3,C,MB2016-412973
P38,1,A,MB2016-410602
P38,2,B,MB2016-412973
P38,3,C,MB2016-412117
P39,1,A,MB2016-412117
P39,2,C,MB2016-410602
P39,3,B,MB2016-412973
P40,1,A,MB2016-410602
P40,2,C,MB2016-412973
