utcTime,sessionTime,frame,playerPosition,action,hand,hold,details
2026-06-28T00:38:00.0012240Z,0.000,1,"(0.000,0.000,0.000)",LocomotionStop,,,grip locomotion stopped
2026-06-28T00:38:00.2223980Z,0.020,2,"(0.000,0.000,0.000)",LocomotionStop,,,grip locomotion stopped
2026-06-28T00:38:00.4853520Z,0.284,3,"(-0.024,0.985,0.024)",LocomotionStop,,,grip locomotion stopped
2026-06-28T00:38:00.5640340Z,0.364,4,"(-0.013,0.990,0.016)",LocomotionStop,,,grip locomotion stopped
2026-06-28T00:38:00.6795300Z,0.440,5,"(-0.013,1.000,0.012)",LocomotionStop,,,grip locomotion stopped
2026-06-28T00:38:00.7643490Z,0.500,6,"(-0.030,1.026,-0.012)",LocomotionStop,,,grip locomotion stopped
2026-06-28T00:38:00.8640520Z,0.605,7,"(-0.048,1.030,-0.029)",LocomotionStop,,,grip locomotion stopped
2026-06-28T00:38:00.9640050Z,0.698,8,"(-0.064,1.029,-0.042)",LocomotionStop,,,grip locomotion stopped
2026-06-28T00:38:01.0638850Z,0.796,9,"(-0.074,1.030,-0.050)",LocomotionStop,,,grip locomotion stopped
2026-06-28T00:38:01.1653390Z,0.896,10,"(-0.079,1.033,-0.054)",LocomotionStop,,,grip locomotion stopped
2026-06-28T00:38:01.2638750Z,1.008,11,"(-0.084,1.037,-0.054)",LocomotionStop,,,grip locomotion stopped
2026-06-28T00:38:01.3628940Z,1.103,12,"(-0.088,1.040,-0.053)",LocomotionStop,,,grip locomotion stopped
2026-06-28T00:38:01.4629000Z,1.213,13,"(-0.089,1.041,-0.052)",LocomotionStop,,,grip locomotion stopped
2026-06-28T00:38:01.5627900Z,1.295,14,"(-0.093,1.040,-0.052)",LocomotionStop,,,grip locomotion stopped
2026-06-28T00:38:01.6628990Z,1.398,15,"(-0.095,1.037,-0.051)",LocomotionStop,,,grip locomotion stopped
2026-06-28T00:38:01.7631110Z,1.497,16,"(-0.096,1.035,-0.051)",LocomotionStop,,,grip locomotion stopped
2026-06-28T00:38:01.8630400Z,1.616,17,"(-0.097,1.032,-0.050)",LocomotionStop,,,grip locomotion stopped
2026-06-28T00:38:01.9628090Z,1.710,18,"(-0.098,1.029,-0.046)",LocomotionStop,,,grip locomotion stopped
2026-06-28T00:38:02.0627030Z,1.796,19,"(-0.100,1.028,-0.043)",LocomotionStop,,,grip locomotion stopped
2026-06-28T00:38:02.1631530Z,1.907,20,"(-0.101,1.029,-0.042)",LocomotionStop,,,grip locomotion stopped
2026-06-28T00:38:02.2630220Z,2.012,21,"(-0.102,1.028,-0.040)",LocomotionStop,,,grip locomotion stopped
2026-06-28T00:38:02.3630390Z,2.116,22,"(-0.103,1.027,-0.039)",LocomotionStop,,,grip locomotion stopped
2026-06-28T00:38:02.4629390Z,2.205,23,"(-0.104,1.026,-0.039)",LocomotionStop,,,grip locomotion stopped
2026-06-28T00:38:02.5627420Z,2.296,24,"(-0.103,1.026,-0.041)",LocomotionStop,,,grip locomotion stopped
2026-06-28T00:38:02.6632880Z,2.399,25,"(-0.102,1.027,-0.042)",LocomotionStop,,,grip locomotion stopped
2026-06-28T00:38:02.7631220Z,2.514,26,"(-0.102,1.028,-0.043)",LocomotionStop,,,grip locomotion stopped
2026-06-28T00:38:02.8630410Z,2.607,27,"(-0.103,1.028,-0.043)",LocomotionStop,,,grip locomotion stopped
2026-06-28T00:38:02.9630850Z,2.701,28,"(-0.103,1.028,-0.043)",LocomotionStop,,,grip locomotion stopped
2026-06-28T00:38:03.0628950Z,2.813,29,"(-0.103,1.028,-0.042)",LocomotionStop,,,grip locomotion stopped
2026-06-28T00:38:03.1633060Z,2.898,30,"(-0.104,1.028,-0.042)",LocomotionStop,,,grip locomotion stopped
